time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),precipitation_probability (%),precipitation (mm),rain (mm),showers (mm),snowfall (cm),snow_depth (m),weather_code (wmo code),cloud_cover (%),visibility (m),wind_speed_10m (km/h),wind_gusts_10m (km/h),uv_index (),is_day ()
2024-12-18T00:00,3.0,75,-1.0,-1.5,0,0.00,0.00,0.00,0.00,0.00,3,99,22000.00,15.1,34.2,0.00,0
2024-12-18T01:00,2.9,76,-0.9,-1.0,0,0.00,0.00,0.00,0.00,0.00,2,54,21500.00,11.3,27.7,0.00,0
2024-12-18T02:00,2.3,74,-1.8,-1.8,0,0.00,0.00,0.00,0.00,0.00,1,21,22500.00,11.7,30.2,0.00,0
2024-12-18T03:00,1.8,74,-2.3,-2.0,0,0.00,0.00,0.00,0.00,0.00,3,100,22400.00,9.7,29.2,0.00,0
2024-12-18T04:00,2.0,74,-2.2,-2.3,0,0.00,0.00,0.00,0.00,0.00,1,28,22500.00,12.5,35.6,0.00,0
2024-12-18T05:00,1.6,70,-3.3,-2.4,0,0.00,0.00,0.00,0.00,0.00,3,100,25000.00,9.7,29.2,0.00,0
2024-12-18T06:00,2.0,68,-3.3,-1.7,0,0.00,0.00,0.00,0.00,0.00,3,100,26300.00,7.5,22.7,0.00,0
2024-12-18T07:00,2.0,71,-2.7,-1.6,0,0.00,0.00,0.00,0.00,0.00,3,100,24000.00,7.4,21.2,0.00,0
2024-12-18T08:00,2.2,72,-2.3,-1.4,0,0.00,0.00,0.00,0.00,0.00,3,100,23500.00,7.7,20.5,0.00,0
2024-12-18T09:00,2.1,78,-1.4,-1.3,0,0.00,0.00,0.00,0.00,0.00,3,100,20700.00,6.9,26.6,0.00,0
2024-12-18T10:00,2.0,80,-1.1,-1.0,0,0.00,0.00,0.00,0.00,0.00,3,100,19500.00,5.0,22.0,0.00,0
2024-12-18T11:00,1.8,80,-1.3,-1.5,0,0.00,0.00,0.00,0.00,0.00,3,100,19600.00,6.9,22.7,0.00,0
2024-12-18T12:00,2.1,80,-1.0,-1.2,0,0.00,0.00,0.00,0.00,0.00,3,100,19500.00,7.1,23.0,0.00,0
2024-12-18T13:00,2.2,79,-1.0,-0.8,0,0.00,0.00,0.00,0.00,0.00,3,100,20200.00,5.2,21.2,0.00,1
2024-12-18T14:00,2.5,77,-1.1,-1.0,2,0.00,0.00,0.00,0.00,0.00,3,100,21200.00,8.0,20.2,0.10,1
2024-12-18T15:00,2.8,81,-0.2,-0.7,4,0.00,0.00,0.00,0.00,0.00,3,100,19000.00,9.1,21.6,0.35,1
2024-12-18T16:00,2.4,89,0.8,-0.7,13,0.00,0.00,0.00,0.00,0.00,3,100,15400.00,7.2,16.2,0.65,1
2024-12-18T17:00,2.6,86,0.5,-0.6,20,0.00,0.00,0.00,0.00,0.00,3,100,17000.00,8.0,16.9,0.60,1
2024-12-18T18:00,2.8,84,0.3,-0.8,32,0.00,0.00,0.00,0.00,0.00,3,100,17900.00,10.1,19.4,0.45,1
2024-12-18T19:00,2.4,84,0.0,-0.9,34,0.00,0.00,0.00,0.00,0.00,3,100,17700.00,8.4,16.9,0.40,1
2024-12-18T20:00,1.6,93,0.6,-1.6,31,0.20,0.20,0.00,0.00,0.00,51,100,13500.00,8.1,18.7,0.30,1
2024-12-18T21:00,1.6,91,0.3,-1.5,7,0.00,0.00,0.00,0.00,0.00,3,81,14200.00,7.3,18.4,0.20,1
2024-12-18T22:00,1.3,91,-0.0,-2.0,0,0.00,0.00,0.00,0.00,0.00,3,94,13500.00,8.0,22.0,0.05,0
2024-12-18T23:00,0.7,89,-0.9,-3.1,0,0.00,0.00,0.00,0.00,0.00,1,26,14200.00,10.6,25.9,0.00,0
2024-12-19T00:00,0.6,88,-1.2,-3.5,2,0.00,0.00,0.00,0.00,0.00,1,22,14500.00,12.0,31.3,0.00,0
2024-12-19T01:00,0.5,86,-1.5,-3.8,2,0.00,0.00,0.00,0.00,0.00,0,0,15400.00,13.3,35.6,0.00,0
2024-12-19T02:00,0.5,84,-1.9,-3.7,1,0.00,0.00,0.00,0.00,0.00,0,1,16400.00,12.2,42.1,0.00,0
2024-12-19T03:00,0.3,84,-2.1,-4.3,0,0.00,0.00,0.00,0.00,0.00,0,0,16800.00,15.3,43.2,0.00,0
2024-12-19T04:00,0.2,79,-3.0,-4.2,0,0.00,0.00,0.00,0.00,0.00,3,100,20000.00,12.7,38.2,0.00,0
2024-12-19T05:00,0.1,81,-2.7,-4.2,0,0.00,0.00,0.00,0.00,0.00,0,0,18700.00,12.3,38.5,0.00,0
2024-12-19T06:00,0.1,76,-3.6,-4.8,0,0.00,0.00,0.00,0.00,0.00,3,100,21300.00,15.6,38.5,0.00,0
2024-12-19T07:00,-0.4,69,-5.4,-6.2,0,0.00,0.00,0.00,0.00,0.00,3,100,25200.00,20.4,43.9,0.00,0
2024-12-19T08:00,-0.8,64,-6.8,-6.5,0,0.00,0.00,0.00,0.00,0.00,3,100,28900.00,18.7,39.6,0.00,0
2024-12-19T09:00,-1.0,63,-7.2,-6.7,0,0.00,0.00,0.00,0.00,0.00,0,0,29000.00,18.1,39.6,0.00,0
